x,y
176,163
175,164
174,164
173,165
172,165
169,168
168,168
165,171
165,172
159,178
159,179
155,183
155,184
151,188
151,189
148,192
148,193
145,196
145,197
141,201
140,201
139,202
127,202
126,201
124,201
122,199
122,198
121,197
121,195
120,194
120,170
119,169
119,165
118,165
117,164
115,164
114,165
113,165
110,168
109,168
108,169
108,170
104,174
104,175
102,177
102,178
101,179
101,180
100,181
100,182
99,183
99,184
98,185
98,186
97,187
97,188
96,189
96,190
95,191
95,192
94,193
94,194
93,195
93,197
92,198
92,199
91,200
91,202
90,203
90,204
89,205
89,207
88,208
88,209
87,210
87,212
86,213
86,215
85,216
85,217
84,218
84,219
83,220
83,221
82,222
82,223
81,224
81,225
80,226
78,226
77,225
77,216
78,215
78,210
79,209
79,204
80,203
80,200
81,199
81,196
82,195
82,193
83,192
83,190
84,189
84,187
85,186
85,184
86,183
86,182
87,181
87,179
88,178
88,177
89,176
89,175
90,174
90,173
91,172
91,171
92,170
92,169
93,168
92,167
92,166
91,166
90,165
87,165
86,166
83,166
82,167
81,167
80,168
79,168
78,169
76,169
75,170
74,170
73,171
72,171
71,172
70,172
69,173
68,173
66,175
65,175
63,177
62,177
60,179
59,179
56,182
55,182
52,185
51,185
45,191
45,192
43,194
43,195
41,197
41,199
40,200
40,205
41,206
41,207
42,208
45,208
46,207
46,201
47,200
47,198
48,197
48,196
50,194
50,193
53,190
53,189
62,180
63,180
66,177
67,177
70,174
71,174
73,172
74,172
76,170
78,170
79,171
77,173
77,174
75,176
75,177
73,179
73,180
72,181
72,182
71,183
71,184
70,185
70,186
69,187
69,188
68,189
68,190
67,191
67,192
66,193
66,194
65,195
65,196
64,197
64,198
63,199
63,200
62,201
62,202
61,203
61,204
60,205
60,206
59,207
59,208
58,209
58,210
56,212
56,213
55,214
55,215
53,217
53,218
51,220
51,221
44,228
43,228
42,229
41,229
40,230
33,230
32,231
32,234
34,236
41,236
42,235
44,235
46,233
47,233
52,228
52,227
54,225
54,224
56,222
56,221
57,220
57,219
58,218
58,217
59,216
59,214
60,213
60,212
61,211
61,210
62,209
62,207
63,206
63,205
64,204
64,202
65,201
65,200
66,199
66,198
67,197
67,195
68,194
68,193
69,192
69,191
70,190
70,188
71,187
71,186
72,185
72,184
73,183
73,182
75,180
75,179
76,178
76,177
78,175
78,174
82,170
83,170
84,171
84,173
83,174
83,175
82,176
82,178
81,179
81,181
80,182
80,185
79,186
79,189
78,190
78,193
77,194
77,198
76,199
76,204
75,205
75,213
74,214
74,221
75,222
75,226
77,228
80,228
83,225
83,224
84,223
84,222
85,221
85,220
86,219
86,218
87,217
87,216
88,215
88,213
89,212
89,211
90,210
90,209
91,208
91,207
92,206
92,205
93,204
93,203
94,202
94,201
95,200
95,199
96,198
96,197
97,196
97,195
98,194
98,193
100,191
100,190
101,189
101,188
103,186
103,185
105,183
105,182
108,179
108,178
114,172
115,172
116,173
116,189
117,190
117,198
118,199
117,200
117,201
116,202
116,205
117,206
118,206
119,207
123,207
124,208
130,208
131,207
135,207
136,208
135,209
135,210
130,215
130,216
121,225
120,225
118,227
117,227
115,229
113,229
112,230
104,230
103,231
103,234
104,235
106,235
107,236
110,236
111,235
114,235
115,234
116,234
117,233
118,233
120,231
121,231
131,221
131,220
134,217
134,216
137,213
137,212
139,210
139,209
144,204
147,204
148,203
153,203
154,202
162,202
164,204
163,205
163,208
162,209
162,212
161,213
161,217
160,218
160,229
161,230
161,231
162,232
165,232
166,231
167,231
175,223
175,222
179,218
179,217
181,215
181,214
182,213
183,213
184,214
184,217
185,218
185,221
186,222
186,223
188,225
188,226
190,228
191,228
193,230
194,230
195,231
198,231
199,232
204,232
205,231
209,231
210,230
212,230
213,229
215,229
216,228
217,228
218,227
219,227
220,226
221,226
223,224
224,224
230,218
230,217
232,215
232,214
233,213
234,213
235,212
242,212
244,214
244,219
243,220
243,221
244,222
244,225
245,226
245,227
249,231
250,231
251,232
252,232
253,233
261,233
262,232
265,232
266,231
267,231
269,229
270,229
272,227
273,227
274,228
275,228
276,229
278,229
280,231
281,231
282,232
283,232
284,233
286,233
287,234
289,234
290,235
296,235
297,236
305,236
306,235
307,235
308,234
309,234
311,232
312,232
315,229
315,228
318,225
318,224
319,223
319,222
321,220
321,219
322,218
322,216
323,215
323,214
324,213
324,212
325,211
325,209
326,208
326,207
327,206
327,204
328,203
328,202
329,201
329,199
330,198
330,197
331,196
331,195
332,194
332,192
333,191
333,190
334,189
334,188
335,187
335,186
336,185
336,184
337,183
337,182
338,181
338,180
339,179
339,178
341,176
341,175
346,170
347,170
348,171
348,172
347,173
347,175
346,176
346,177
345,178
345,181
344,182
344,184
343,185
343,188
342,189
342,192
341,193
341,197
340,198
340,202
339,203
339,210
338,211
338,223
339,224
339,226
340,227
340,228
341,228
342,229
343,228
344,228
346,226
346,225
348,223
348,221
349,220
349,219
350,218
350,217
351,216
351,215
352,214
352,213
353,212
353,211
354,210
354,209
355,208
355,207
356,206
356,205
357,204
357,203
358,202
358,201
359,200
359,199
360,198
360,197
361,196
361,195
362,194
362,193
363,192
363,191
365,189
365,188
366,187
366,186
368,184
368,183
371,180
371,179
379,171
380,171
383,168
383,166
381,164
379,164
378,165
377,165
375,167
374,167
371,170
371,171
368,174
368,175
366,177
366,178
364,180
364,181
363,182
363,183
362,184
362,185
361,186
361,187
360,188
360,189
359,190
359,191
358,192
358,194
357,195
357,196
356,197
356,199
355,200
355,201
354,202
354,204
353,205
353,206
352,207
352,209
351,210
351,212
350,213
350,214
349,215
349,217
348,218
348,219
347,220
347,221
346,222
346,223
343,226
342,226
341,225
341,214
342,213
342,208
343,207
343,203
344,202
344,199
345,198
345,195
346,194
346,192
347,191
347,189
348,188
348,186
349,185
349,184
350,183
350,181
351,180
351,179
352,178
352,177
353,176
353,175
354,174
354,173
355,172
355,171
356,170
356,166
355,166
354,165
351,165
350,166
347,166
346,167
344,167
343,168
342,168
341,169
340,169
339,170
338,170
337,171
336,171
335,172
334,172
333,173
332,173
330,175
329,175
328,176
327,176
325,178
324,178
321,181
320,181
317,184
316,184
308,192
308,193
306,195
306,196
305,197
305,198
304,199
304,206
306,208
309,208
309,207
310,206
310,200
311,199
311,198
312,197
312,196
313,195
313,194
316,191
316,190
327,179
328,179
331,176
332,176
334,174
335,174
338,171
339,171
340,170
342,170
343,171
341,173
341,174
338,177
338,178
337,179
337,180
336,181
336,182
334,184
334,185
333,186
333,187
332,188
332,189
331,190
331,191
330,192
330,193
329,194
329,195
328,196
328,197
327,198
327,199
326,200
326,201
325,202
325,203
324,204
324,205
323,206
323,207
322,208
322,209
321,210
321,211
320,212
320,213
318,215
318,216
316,218
316,219
314,221
314,222
308,228
307,228
306,229
305,229
304,230
297,230
296,231
289,231
288,230
286,230
285,229
284,229
282,227
281,227
280,226
278,226
275,223
276,222
276,221
278,219
278,218
279,217
279,215
280,214
280,213
281,212
281,211
282,210
282,208
283,207
283,205
284,204
284,202
285,201
285,199
286,198
286,196
287,195
287,194
288,193
288,191
289,190
289,188
290,187
290,186
291,185
291,183
292,182
292,181
293,180
293,179
294,178
294,177
296,175
296,174
301,169
301,167
299,165
297,165
296,166
295,166
288,173
287,173
286,174
285,174
283,176
281,176
280,177
279,177
278,178
277,178
276,179
274,179
273,180
271,180
270,181
268,181
267,182
266,182
265,183
263,183
261,185
260,185
255,190
255,192
254,193
254,200
255,201
255,202
256,203
259,203
260,202
260,195
261,194
261,192
268,185
269,185
270,184
271,184
273,182
274,182
275,181
276,181
277,180
278,180
279,179
280,179
281,178
282,178
283,177
284,177
286,175
287,175
288,176
288,178
287,179
287,181
286,182
286,184
285,185
285,188
284,189
284,192
283,193
283,196
282,197
282,200
281,201
281,204
280,205
280,208
279,209
279,211
278,212
278,214
277,215
277,216
276,217
276,218
275,219
275,220
274,221
274,222
268,228
267,228
266,229
265,229
264,230
256,230
255,229
254,229
253,228
252,228
251,227
251,226
250,225
250,224
249,223
249,220
250,219
250,217
251,216
251,215
252,214
252,213
250,211
246,211
244,209
241,209
240,208
239,208
238,209
236,209
234,207
234,205
233,204
233,202
232,201
232,200
231,199
230,199
229,198
228,198
227,197
226,197
225,196
227,194
228,194
229,193
230,193
231,192
232,192
233,191
234,191
235,190
236,190
238,188
238,187
240,185
240,184
241,183
241,181
242,180
242,176
241,175
241,173
240,172
240,171
239,170
239,169
237,167
236,167
234,165
232,165
231,164
228,164
227,163
214,163
213,164
211,164
210,165
208,165
206,167
205,167
203,169
202,169
199,172
199,173
196,176
196,177
195,178
195,180
194,181
194,186
195,187
195,188
196,189
196,190
197,190
198,191
199,191
201,189
201,185
200,184
200,181
201,180
201,178
202,177
202,176
203,175
203,174
205,172
205,171
208,168
209,168
211,166
212,166
213,165
215,165
216,164
225,164
226,165
228,165
230,167
230,168
228,170
227,170
224,173
223,173
222,174
221,174
217,178
217,179
215,181
215,182
213,184
213,185
212,186
212,187
211,188
211,190
210,191
210,192
209,193
209,194
208,195
208,197
207,198
207,200
206,201
206,203
205,204
205,206
204,207
204,209
203,210
203,214
202,215
202,218
201,219
201,225
202,225
202,224
203,223
203,222
204,221
204,219
205,218
205,217
206,216
206,215
207,214
207,212
208,211
208,210
209,209
209,208
210,207
210,205
211,204
211,203
212,202
212,201
213,200
213,199
214,198
214,196
215,195
215,194
216,193
216,192
217,191
217,190
218,189
218,188
220,186
220,185
222,183
222,182
226,178
226,177
228,175
228,174
229,173
230,173
232,171
234,171
236,173
236,180
235,181
235,183
233,185
233,186
228,191
227,191
225,193
224,193
223,194
222,194
221,195
218,195
218,197
220,197
221,198
222,198
223,199
224,199
226,201
226,202
227,203
227,204
228,205
228,210
227,211
227,213
226,214
226,216
224,218
224,219
218,225
217,225
215,227
214,227
213,228
212,228
211,229
208,229
207,230
199,230
198,229
197,229
196,228
195,228
192,225
192,224
191,223
191,222
190,221
190,213
191,212
191,210
193,208
193,207
194,206
194,205
195,204
195,202
194,201
193,201
192,200
191,201
190,201
187,204
186,204
183,207
183,208
182,209
182,210
180,212
180,213
178,215
178,216
175,219
175,220
172,223
172,224
167,229
166,229
165,230
164,230
162,228
162,222
163,221
163,218
164,217
164,214
165,213
165,210
166,209
166,207
167,206
167,205
168,204
170,204
171,205
172,205
172,204
169,201
169,198
170,197
170,196
171,195
171,193
172,192
172,190
173,189
173,188
174,187
174,185
175,184
175,183
176,182
176,181
177,180
177,179
178,178
178,176
179,175
179,174
180,173
180,172
181,171
181,170
182,169
182,167
183,166
183,165
181,163
