x,y
377,145
376,146
364,146
363,147
359,147
358,148
355,148
354,149
352,149
351,150
350,150
349,151
348,151
347,152
346,152
344,154
343,154
342,155
342,156
340,158
340,159
339,160
339,161
338,162
338,164
337,165
337,167
336,168
336,170
335,171
335,173
334,174
334,176
333,177
333,179
332,180
332,182
331,183
331,185
330,186
330,187
329,188
329,190
328,191
328,193
327,194
327,196
326,197
326,199
325,200
325,202
324,203
324,205
323,206
323,208
322,209
322,211
321,212
321,214
320,215
320,217
319,218
319,220
318,221
318,223
317,224
317,225
316,226
316,228
315,229
315,231
314,232
314,234
313,235
313,237
312,238
312,240
311,241
311,243
310,244
310,246
309,247
309,249
308,250
308,252
307,253
307,255
306,256
306,258
305,259
305,261
304,262
304,263
303,264
303,266
302,267
302,269
301,270
301,272
300,273
300,275
299,276
299,278
298,279
298,281
297,282
297,284
296,285
296,287
295,288
295,290
294,291
294,293
293,294
293,296
292,297
292,298
291,299
291,301
290,302
290,304
289,305
289,307
288,308
288,310
287,311
287,313
286,314
286,316
285,317
285,319
284,320
284,322
283,323
283,325
282,326
282,328
281,329
281,331
280,332
280,334
279,335
279,337
278,338
278,339
277,340
277,342
276,343
276,345
275,346
275,348
274,349
274,351
273,352
273,354
272,355
272,357
271,358
271,360
270,361
270,363
269,364
269,366
268,367
268,369
267,370
267,372
266,373
266,374
265,375
265,377
264,378
264,380
263,381
263,383
262,384
262,386
261,387
261,389
260,390
260,392
259,393
259,395
258,396
258,398
257,399
257,401
256,402
256,404
255,405
255,407
254,408
254,410
253,411
253,412
252,413
252,415
251,416
251,418
250,419
250,421
249,422
249,424
248,425
248,427
247,428
247,430
246,431
246,433
245,434
245,436
244,437
244,439
243,440
243,442
242,443
242,445
241,446
241,448
240,449
240,450
239,451
239,453
238,454
238,456
237,457
237,459
236,460
236,462
235,463
235,465
234,466
234,468
233,469
233,471
232,472
232,474
231,475
231,477
230,478
230,480
229,481
229,483
228,484
228,486
227,487
227,488
226,489
226,491
225,492
225,494
224,495
224,497
223,498
223,500
222,501
222,503
221,504
221,506
220,507
220,509
219,510
219,512
218,513
218,515
217,516
217,518
216,519
216,521
215,522
215,524
214,525
214,526
213,527
213,529
212,530
212,532
211,533
211,535
210,536
210,538
209,539
209,541
208,542
208,544
207,545
207,547
206,548
206,550
205,551
205,553
204,554
204,556
203,557
203,559
202,560
202,562
201,563
201,564
200,565
200,567
199,568
199,570
198,571
198,573
197,574
197,576
196,577
196,579
195,580
195,582
194,583
194,585
193,586
193,588
192,589
192,591
191,592
191,594
190,595
190,597
189,598
189,600
188,601
188,602
187,603
187,605
186,606
186,608
185,609
185,611
184,612
184,614
183,615
183,617
182,618
182,620
181,621
181,623
180,624
180,626
179,627
179,629
178,630
178,632
177,633
177,635
176,636
176,638
175,639
175,640
174,641
174,644
173,645
173,647
172,648
172,652
171,653
171,659
172,660
172,661
176,665
177,665
178,666
179,666
180,667
182,667
183,668
185,668
186,669
189,669
190,670
196,670
197,671
213,671
214,672
246,672
247,671
258,671
259,670
263,670
264,669
266,669
267,668
268,668
269,667
270,667
271,666
272,666
278,660
278,659
279,658
279,656
280,655
280,653
281,652
281,650
282,649
282,647
283,646
283,644
284,643
284,641
285,640
285,638
286,637
286,635
287,634
287,632
288,631
288,629
289,628
289,626
290,625
290,623
291,622
291,620
292,619
292,617
293,616
293,614
294,613
294,610
295,609
295,607
296,606
296,604
297,603
297,601
298,600
298,598
299,597
299,595
300,594
300,592
301,591
301,589
302,588
302,586
303,585
303,583
304,582
304,580
305,579
305,577
306,576
306,574
307,573
307,571
308,570
308,568
309,567
309,566
311,564
487,564
488,565
488,566
489,567
489,568
490,569
490,571
491,572
491,575
492,576
492,578
493,579
493,581
494,582
494,584
495,585
495,587
496,588
496,590
497,591
497,593
498,594
498,596
499,597
499,599
500,600
500,602
501,603
501,605
502,606
502,608
503,609
503,611
504,612
504,614
505,615
505,617
506,618
506,620
507,621
507,623
508,624
508,626
509,627
509,629
510,630
510,632
511,633
511,636
512,637
512,639
513,640
513,642
514,643
514,645
515,646
515,648
516,649
516,651
517,652
517,654
518,655
518,657
519,658
519,659
521,661
521,662
522,663
523,663
525,665
526,665
527,666
528,666
529,667
530,667
531,668
533,668
534,669
537,669
538,670
542,670
543,671
558,671
559,672
593,672
594,671
608,671
609,670
613,670
614,669
617,669
618,668
619,668
620,667
621,667
622,666
623,666
628,661
628,659
629,658
629,653
628,652
628,647
627,646
627,643
626,642
626,640
625,639
625,637
624,636
624,634
623,633
623,632
622,631
622,629
621,628
621,626
620,625
620,623
619,622
619,620
618,619
618,617
617,616
617,614
616,613
616,611
615,610
615,608
614,607
614,605
613,604
613,602
612,601
612,599
611,598
611,596
610,595
610,594
609,593
609,591
608,590
608,588
607,587
607,585
606,584
606,582
605,581
605,579
604,578
604,576
603,575
603,573
602,572
602,570
601,569
601,567
600,566
600,564
599,563
599,561
598,560
598,558
597,557
597,556
596,555
596,553
595,552
595,550
594,549
594,547
593,546
593,544
592,543
592,541
591,540
591,538
590,537
590,535
589,534
589,532
588,531
588,529
587,528
587,526
586,525
586,523
585,522
585,520
584,519
584,518
583,517
583,515
582,514
582,512
581,511
581,509
580,508
580,506
579,505
579,503
578,502
578,500
577,499
577,497
576,496
576,494
575,493
575,491
574,490
574,488
573,487
573,485
572,484
572,483
571,482
571,480
570,479
570,477
569,476
569,474
568,473
568,471
567,470
567,468
566,467
566,465
565,464
565,462
564,461
564,459
563,458
563,456
562,455
562,453
561,452
561,450
560,449
560,447
559,446
559,445
558,444
558,442
557,441
557,439
556,438
556,436
555,435
555,433
554,432
554,430
553,429
553,427
552,426
552,424
551,423
551,421
550,420
550,418
549,417
549,415
548,414
548,412
547,411
547,409
546,408
546,407
545,406
545,404
544,403
544,401
543,400
543,398
542,397
542,395
541,394
541,392
540,391
540,389
539,388
539,386
538,385
538,383
537,382
537,380
536,379
536,377
535,376
535,374
534,373
534,371
533,370
533,369
532,368
532,366
531,365
531,363
530,362
530,360
529,359
529,357
528,356
528,354
527,353
527,351
526,350
526,348
525,347
525,345
524,344
524,342
523,341
523,339
522,338
522,336
521,335
521,333
520,332
520,331
519,330
519,328
518,327
518,325
517,324
517,322
516,321
516,319
515,318
515,316
514,315
514,313
513,312
513,310
512,309
512,307
511,306
511,304
510,303
510,301
509,300
509,298
508,297
508,295
507,294
507,293
506,292
506,290
505,289
505,287
504,286
504,284
503,283
503,281
502,280
502,278
501,277
501,275
500,274
500,272
499,271
499,269
498,268
498,266
497,265
497,263
496,262
496,260
495,259
495,257
494,256
494,255
493,254
493,252
492,251
492,249
491,248
491,246
490,245
490,243
489,242
489,240
488,239
488,237
487,236
487,234
486,233
486,231
485,230
485,228
484,227
484,225
483,224
483,222
482,221
482,219
481,218
481,217
480,216
480,214
479,213
479,211
478,210
478,208
477,207
477,205
476,204
476,202
475,201
475,199
474,198
474,196
473,195
473,193
472,192
472,190
471,189
471,187
470,186
470,184
469,183
469,181
468,180
468,179
467,178
467,176
466,175
466,173
465,172
465,170
464,169
464,167
463,166
463,164
462,163
462,161
461,160
461,159
460,158
460,157
456,153
455,153
453,151
452,151
451,150
449,150
448,149
446,149
445,148
442,148
441,147
437,147
436,146
425,146
424,145
