x,y
264,149
263,150
261,150
260,151
258,151
257,152
256,152
250,158
250,159
248,161
248,162
247,163
247,164
246,165
246,169
245,170
245,181
246,182
246,185
247,186
247,188
249,190
249,191
251,193
252,193
254,195
255,195
260,200
260,208
259,209
259,221
260,222
260,226
261,227
261,230
262,231
262,232
263,233
263,235
264,236
264,241
263,242
263,243
262,244
262,245
259,248
259,249
256,252
256,253
255,254
255,255
253,257
253,258
252,259
252,260
251,261
251,262
250,263
250,264
249,265
249,266
248,267
248,268
247,269
247,270
245,272
245,273
242,276
241,276
239,274
239,271
238,270
238,265
237,264
237,260
236,259
236,256
235,255
235,251
234,250
234,245
233,244
233,241
232,240
232,237
231,236
231,235
230,234
230,232
229,231
229,230
228,229
228,228
226,226
226,225
224,223
223,223
222,222
221,222
220,221
212,221
211,222
209,222
208,223
206,223
205,224
204,224
203,225
202,225
201,226
200,226
199,227
198,227
196,229
194,229
193,230
190,227
190,210
189,209
189,202
188,201
188,197
187,196
187,193
186,192
186,190
185,189
185,187
184,186
184,184
183,183
183,182
182,181
182,179
181,178
181,177
180,176
180,174
179,173
179,171
178,170
178,168
177,167
177,166
175,164
175,163
172,160
171,160
170,159
169,159
168,158
161,158
160,159
159,159
156,162
156,167
158,169
158,170
159,170
164,175
164,176
165,177
165,178
166,179
166,181
167,182
167,184
168,185
168,186
169,187
169,188
170,189
170,191
171,192
171,193
172,194
172,197
173,198
173,201
174,202
174,208
175,209
175,241
174,242
174,248
173,249
173,252
172,253
172,254
171,255
171,256
170,257
170,258
169,259
169,260
167,262
167,263
165,265
165,266
164,267
164,268
163,269
163,270
162,271
162,273
161,274
161,276
160,277
160,281
159,282
159,285
158,286
158,287
154,291
149,291
146,288
146,287
145,286
145,284
144,283
144,279
143,278
143,274
142,273
142,269
141,268
141,263
140,262
140,245
139,244
139,240
138,239
138,237
137,236
137,234
136,233
136,231
135,230
135,229
133,227
133,226
129,222
128,222
126,220
124,220
123,219
119,219
118,218
108,218
107,219
104,219
103,220
101,220
100,221
99,221
98,222
97,222
89,230
89,231
84,236
83,236
82,235
82,233
81,232
81,225
82,224
82,221
83,220
83,219
84,218
84,217
85,216
85,214
86,213
86,212
87,211
87,209
88,208
88,206
89,205
89,204
90,203
90,202
91,201
91,200
92,199
92,198
94,196
94,195
97,192
97,191
104,184
104,183
110,177
110,176
111,175
111,174
112,173
112,172
113,171
113,165
112,164
112,163
110,161
104,161
98,167
98,168
88,178
88,179
85,182
85,183
82,186
82,187
80,189
80,190
78,192
78,193
77,194
77,195
76,196
76,197
75,198
75,200
74,201
74,203
73,204
73,206
72,207
72,208
71,209
71,210
70,211
70,213
69,214
69,215
68,216
68,218
67,219
67,224
66,225
66,240
64,242
63,241
63,240
61,238
61,237
