x,y
39,63
36,66
36,69
35,70
35,79
36,80
36,83
37,84
37,87
38,88
38,89
39,90
39,91
40,92
40,93
41,94
41,95
42,96
42,98
44,100
44,101
45,102
45,104
46,105
46,106
47,107
47,108
48,109
48,110
49,111
49,112
50,113
50,114
51,115
51,116
52,117
52,118
53,119
53,120
54,121
54,122
55,123
55,124
56,125
56,126
58,128
58,129
60,131
60,132
61,133
61,134
63,136
63,137
64,138
64,139
65,140
64,141
64,142
59,147
58,147
58,148
57,149
57,150
56,151
56,153
55,154
55,160
56,161
56,167
57,168
57,171
58,172
58,173
59,174
59,175
60,176
60,178
61,179
61,180
62,181
62,182
63,183
63,184
64,185
64,186
66,188
66,189
68,191
68,192
70,194
70,195
72,197
72,198
76,202
76,203
86,213
87,213
93,219
94,219
96,221
97,221
101,225
101,228
100,229
100,230
98,232
98,233
96,235
96,236
95,237
95,239
96,240
96,241
98,243
98,246
100,248
100,249
101,250
101,251
100,252
100,254
99,255
99,256
98,257
98,258
100,260
102,260
103,261
104,261
108,265
108,266
109,267
109,268
110,269
110,276
109,277
109,278
110,279
110,280
111,280
112,281
113,281
114,282
116,282
117,283
118,283
122,287
122,297
121,298
121,303
120,304
120,308
119,309
119,312
118,313
118,316
117,317
117,318
116,319
116,320
115,321
115,322
114,323
114,324
113,325
113,326
112,327
112,328
111,329
111,330
110,331
110,333
112,335
113,335
114,336
115,336
116,335
117,335
119,333
119,319
120,318
120,314
121,313
121,312
122,311
122,309
123,308
123,307
126,304
127,304
128,303
131,303
132,304
134,304
135,305
136,305
137,306
144,306
145,307
146,307
147,308
148,308
149,309
150,309
151,310
156,310
157,309
157,307
158,306
158,302
159,301
159,300
160,299
161,299
162,298
168,298
169,297
169,296
170,295
170,292
171,291
171,287
172,286
172,282
173,281
173,279
174,278
174,272
175,271
175,267
176,266
176,263
177,262
177,258
178,257
178,252
179,251
179,247
180,246
180,241
181,240
181,237
182,236
182,235
183,234
183,233
184,232
184,230
185,229
185,227
186,226
186,224
187,223
187,221
188,220
188,219
189,218
191,218
192,219
192,221
193,222
193,227
194,228
194,239
195,240
195,246
196,247
196,250
198,252
200,252
201,251
201,246
202,245
202,234
203,233
203,225
204,224
204,223
205,222
206,222
208,224
208,226
209,227
209,230
210,231
210,233
211,234
211,237
212,238
212,240
213,241
213,244
214,245
214,248
215,249
215,254
216,255
216,258
217,259
217,262
218,263
218,267
219,268
219,272
220,273
220,277
221,278
221,280
222,281
222,283
223,284
223,286
224,287
224,289
225,290
225,293
226,294
226,295
228,297
229,296
233,296
234,297
235,297
237,299
237,300
238,301
238,305
239,306
239,307
240,308
243,308
244,307
247,307
248,306
250,306
251,307
257,307
258,306
265,306
266,307
267,307
268,308
269,308
273,312
273,313
275,315
275,318
276,319
276,321
277,322
277,329
278,330
278,334
279,335
279,336
281,338
285,338
287,336
287,333
286,332
286,331
282,327
282,326
281,325
281,324
280,323
280,322
279,321
279,320
278,319
278,318
277,317
277,316
276,315
276,313
275,312
275,309
274,308
274,303
273,302
273,295
274,294
274,293
276,291
276,290
279,287
279,286
280,285
281,285
282,284
284,284
285,283
286,283
286,273
287,272
287,271
293,265
294,265
295,264
296,264
298,262
298,261
297,260
297,258
296,257
296,255
295,254
296,253
296,252
297,251
297,250
300,247
300,246
301,245
301,244
302,243
302,240
301,239
301,238
295,232
295,227
302,220
303,220
305,218
306,218
309,215
310,215
313,212
314,212
318,208
318,207
326,199
326,198
328,196
328,195
331,192
331,191
332,190
332,189
334,187
334,186
335,185
335,184
336,183
336,182
337,181
337,179
338,178
338,177
339,176
339,175
340,174
340,173
341,172
341,170
342,169
342,167
343,166
343,152
342,151
342,150
341,149
341,148
335,142
335,140
336,139
336,138
338,136
338,135
339,134
339,133
340,132
340,131
341,130
341,129
342,128
342,127
344,125
344,124
345,123
345,121
346,120
346,119
347,118
347,117
348,116
348,115
349,114
349,113
350,112
350,111
351,110
351,108
352,107
352,106
353,105
353,104
354,103
354,101
355,100
355,99
356,98
356,97
357,96
357,94
358,93
358,92
359,91
359,90
360,89
360,88
361,87
361,85
362,84
362,83
363,82
363,80
364,79
364,74
365,73
365,71
364,70
364,68
360,64
358,64
357,63
348,63
347,64
342,64
341,65
339,65
338,66
335,66
334,67
332,67
331,68
329,68
327,70
326,70
325,71
324,71
323,72
322,72
321,73
320,73
319,74
318,74
316,76
315,76
314,77
313,77
311,79
310,79
306,83
305,83
302,86
301,86
297,90
296,90
288,98
287,98
283,102
282,102
255,129
255,130
252,133
252,134
248,138
248,139
244,143
244,144
242,146
242,147
239,150
239,151
235,155
235,156
232,159
232,160
229,163
229,164
225,168
225,169
222,172
222,173
220,175
220,176
217,179
217,180
215,182
215,183
213,185
213,186
212,187
212,188
210,190
210,191
209,192
207,192
202,187
197,187
196,188
195,188
194,189
194,190
193,191
193,196
192,197
191,197
189,195
189,191
188,190
188,189
186,187
186,186
185,185
185,184
183,182
183,181
181,179
181,178
179,176
179,175
177,173
177,172
175,170
175,169
173,167
173,166
170,163
170,162
167,159
167,158
163,154
163,153
161,151
161,150
159,148
159,147
155,143
155,142
151,138
151,137
149,135
149,134
144,129
144,128
142,126
142,125
125,108
124,108
119,103
117,103
116,102
115,102
109,96
108,96
101,89
101,88
100,88
97,85
96,85
93,82
92,82
90,80
89,80
86,77
85,77
84,76
83,76
82,75
81,75
79,73
78,73
77,72
76,72
75,71
74,71
73,70
71,70
70,69
67,69
66,68
65,68
64,67
61,67
60,66
58,66
57,65
54,65
53,64
50,64
49,63
