x,y
101,33
99,35
99,37
98,38
98,41
97,42
97,58
98,59
98,63
97,64
97,65
96,66
96,67
95,68
95,70
94,71
94,72
93,73
93,74
92,75
92,76
91,77
91,79
90,80
90,81
89,82
89,83
88,84
88,85
87,86
87,87
86,88
82,88
81,87
80,87
79,86
78,86
77,85
76,85
74,83
73,83
69,79
69,78
68,77
68,76
67,75
67,73
66,72
66,56
67,55
67,51
68,50
68,46
69,45
69,43
68,43
67,44
67,45
66,46
66,47
64,49
64,50
63,51
63,52
62,53
62,54
61,55
61,56
60,57
60,59
59,60
59,64
58,65
58,70
59,71
59,74
60,75
60,77
61,78
61,79
62,80
62,81
65,84
65,85
71,91
71,92
74,95
75,95
89,109
89,110
93,114
93,115
95,117
95,118
96,119
96,120
97,121
97,122
98,123
98,124
99,125
99,126
100,127
100,128
101,129
101,131
102,132
102,133
103,134
103,136
104,137
103,138
101,138
92,129
92,128
90,126
90,125
88,123
88,122
87,121
86,121
87,122
87,125
88,126
88,128
89,129
89,131
90,132
90,133
91,134
91,135
93,137
93,138
96,141
96,142
100,146
101,146
104,149
105,149
106,150
107,150
108,151
109,151
110,152
111,152
112,153
113,153
114,154
115,154
116,155
118,155
119,156
121,156
122,157
125,157
126,158
128,158
129,159
132,159
133,160
137,160
138,161
141,161
142,162
145,162
146,163
150,163
151,164
154,164
155,165
157,165
158,166
159,166
160,167
161,167
162,168
164,168
165,169
166,169
171,174
171,175
172,176
172,178
171,179
171,180
170,181
167,181
166,180
165,180
161,176
160,176
158,174
157,174
156,173
155,173
154,172
151,172
150,171
143,171
142,170
137,170
137,172
138,173
138,174
140,176
140,177
141,178
141,179
142,180
142,181
143,182
143,183
144,184
144,185
146,187
146,188
150,192
151,192
152,193
153,193
154,194
156,194
157,195
161,195
162,196
164,196
166,198
166,199
167,200
167,201
168,202
168,204
169,205
169,207
170,208
170,209
171,210
171,212
172,213
172,215
173,216
173,218
174,219
174,221
175,222
175,224
176,225
176,227
177,228
177,230
178,231
178,233
179,234
179,237
180,238
180,240
181,241
181,244
182,245
182,249
183,250
183,257
184,258
184,262
185,263
185,265
186,266
186,268
187,269
187,270
188,271
188,272
189,273
189,274
194,279
195,279
196,280
197,280
198,281
203,281
204,280
206,280
212,274
212,273
213,272
213,271
214,270
214,269
215,268
215,266
216,265
216,263
217,262
217,257
218,256
218,248
219,247
219,243
220,242
220,238
221,237
221,234
222,233
222,229
223,228
223,225
224,224
224,221
225,220
225,218
226,217
226,214
227,213
227,211
228,210
228,208
229,207
229,205
230,204
230,203
231,202
231,200
233,198
233,197
236,194
238,194
239,193
242,193
243,192
244,192
245,191
246,191
247,190
248,190
250,188
251,188
253,186
253,185
255,183
255,182
256,181
256,180
257,179
257,177
258,176
258,175
259,174
259,171
260,170
260,167
255,167
254,168
251,168
250,169
248,169
247,170
245,170
244,171
243,171
242,172
241,172
240,173
239,173
238,174
237,174
234,177
233,177
230,180
224,180
223,179
223,176
224,175
224,174
226,172
227,172
228,171
230,171
231,170
232,170
233,169
234,169
235,168
236,168
237,167
238,167
240,165
241,165
242,164
243,164
244,163
245,163
246,162
247,162
248,161
249,161
250,160
251,160
252,159
253,159
254,158
255,158
256,157
257,157
258,156
260,156
261,155
262,155
263,154
265,154
266,153
269,153
270,152
274,152
275,151
281,151
282,150
286,150
287,149
291,149
292,148
294,148
295,147
297,147
298,146
300,146
301,145
302,145
303,144
304,144
305,143
306,143
307,142
308,142
310,140
311,140
319,132
319,131
320,130
320,129
321,128
321,127
322,126
322,125
323,124
323,122
324,121
324,118
319,123
319,124
313,130
312,130
309,133
308,133
306,135
305,135
304,136
302,136
301,137
299,137
298,136
298,134
299,133
299,131
300,130
300,129
301,128
301,126
302,125
302,124
303,123
303,122
304,121
304,120
305,119
305,118
307,116
307,115
309,113
309,112
312,109
312,108
322,98
323,98
328,93
329,93
332,90
333,90
344,79
344,78
345,77
345,76
346,75
346,72
347,71
347,67
346,66
346,63
345,62
345,61
344,60
344,59
343,58
343,57
340,54
340,53
336,49
336,48
330,42
330,44
331,45
331,46
332,47
332,48
333,49
333,50
334,51
334,52
335,53
335,54
336,55
336,57
337,58
337,62
338,63
338,64
337,65
337,68
336,69
336,70
334,72
334,73
332,75
331,75
327,79
326,79
324,81
323,81
321,83
320,83
319,84
318,84
317,85
316,85
315,86
314,85
313,85
309,81
309,80
307,78
307,77
306,76
306,75
305,74
305,73
304,72
304,70
303,69
303,68
302,67
302,64
301,63
301,61
302,60
302,57
303,56
303,52
304,51
304,46
303,45
303,42
302,41
302,39
301,38
301,37
300,36
300,35
299,34
298,34
298,43
297,44
297,45
295,47
294,47
293,46
292,46
291,45
290,45
289,44
288,44
287,43
285,43
284,42
280,42
281,43
281,44
284,47
284,48
286,50
286,51
288,53
288,54
289,55
289,56
291,58
291,59
292,60
292,61
293,62
293,63
294,64
294,65
295,66
295,67
296,68
296,69
297,70
297,71
298,72
298,74
299,75
299,76
300,77
300,79
301,80
301,83
302,84
302,87
303,88
303,105
302,106
302,109
301,110
301,111
300,112
300,114
298,116
298,117
297,118
297,119
293,123
291,121
291,120
290,119
290,118
288,116
288,115
286,113
285,113
283,111
281,111
280,110
279,110
278,109
277,110
278,111
278,112
279,113
279,114
281,116
281,117
282,118
282,120
283,121
283,122
284,123
284,126
285,127
285,134
282,137
281,137
279,139
278,139
276,141
275,141
274,142
273,142
272,143
271,143
270,144
268,144
267,145
266,145
265,146
262,146
261,147
259,147
258,148
254,148
253,147
253,143
252,142
252,140
251,139
251,137
249,137
249,139
248,140
248,142
247,143
247,145
246,146
246,147
245,148
245,149
244,150
244,151
243,152
243,153
240,156
239,156
238,157
232,157
231,156
229,156
226,153
226,152
225,151
225,139
224,138
224,137
223,138
223,139
222,140
222,141
221,142
221,144
220,145
220,148
219,149
219,159
220,160
220,161
219,162
219,163
218,164
217,164
216,165
215,165
214,166
213,166
212,167
211,167
208,170
207,170
205,172
204,172
203,173
202,173
201,174
200,174
199,175
