x,y
204,0
204,1
203,2
201,2
200,3
199,3
197,5
196,5
188,13
188,14
185,17
184,16
184,13
185,12
185,10
186,9
186,8
187,7
187,6
185,6
184,7
183,7
182,8
181,8
179,10
178,10
170,18
170,19
169,20
169,21
167,23
167,24
166,25
166,26
165,27
164,26
164,19
163,20
162,20
155,27
155,28
153,30
153,31
152,32
152,33
151,34
151,36
150,37
150,38
149,39
147,37
147,34
142,39
142,40
140,42
140,44
139,45
139,46
138,47
138,50
137,51
137,53
136,54
134,52
134,50
133,50
131,52
131,53
130,54
130,55
129,56
129,58
128,59
128,62
127,63
127,67
126,68
125,68
124,67
124,65
123,64
122,65
122,67
121,68
121,72
120,73
120,77
119,78
118,78
117,77
117,76
116,75
116,76
115,77
115,79
114,80
114,87
113,88
112,88
111,87
111,86
110,86
110,87
109,88
109,96
108,97
107,97
105,95
105,94
103,92
103,91
102,90
102,89
101,88
101,87
100,86
100,84
99,83
99,82
98,81
98,79
97,78
97,76
96,75
96,72
95,71
95,69
94,68
93,68
91,66
90,66
87,63
86,63
83,60
82,60
79,57
78,57
76,55
75,55
71,51
70,51
67,48
66,48
62,44
61,44
56,39
55,39
50,34
49,34
41,26
40,26
17,3
16,3
15,4
15,17
16,18
16,20
17,21
17,22
18,23
18,25
19,26
19,27
20,28
19,29
18,29
17,28
16,28
12,24
11,24
8,21
7,21
3,17
2,17
1,16
0,16
0,21
1,22
1,24
2,25
2,28
3,29
3,31
4,32
4,34
5,35
5,36
7,38
7,39
10,42
10,43
11,44
10,45
8,45
6,43
5,43
4,42
3,42
2,41
1,41
0,40
0,46
2,48
2,50
3,51
3,52
4,53
4,54
5,55
5,56
7,58
7,59
14,66
13,67
12,67
11,66
9,66
8,65
8,68
9,69
9,70
10,71
10,72
11,73
11,74
12,75
12,76
15,79
15,80
17,82
18,82
22,86
23,86
24,87
25,87
28,90
27,91
23,91
23,92
25,94
25,95
29,99
30,99
32,101
33,101
35,103
37,103
38,104
39,104
40,105
40,106
39,107
37,107
37,108
40,111
41,111
43,113
44,113
45,114
47,114
48,115
50,115
52,117
51,118
50,118
49,119
52,122
53,122
54,123
55,123
56,124
57,124
58,125
60,125
61,126
63,126
64,127
64,128
63,129
62,129
62,130
63,131
64,131
65,132
66,132
67,133
70,133
71,134
74,134
75,135
75,136
73,138
74,139
75,139
76,140
79,140
80,141
82,141
83,142
83,147
76,154
76,155
72,159
72,160
69,163
68,163
67,164
66,164
65,165
64,165
63,166
61,166
60,167
59,167
58,168
57,168
56,169
54,169
53,170
52,170
51,171
49,171
48,172
47,172
46,173
45,173
44,174
42,174
41,175
40,175
39,176
38,176
37,177
35,177
34,178
33,178
32,179
30,179
29,180
28,180
27,181
26,181
25,182
23,182
22,183
21,183
20,184
19,184
18,185
16,185
15,186
14,186
13,187
11,187
10,188
9,188
8,189
8,190
9,191
9,192
10,193
10,194
14,198
15,198
18,201
18,203
19,203
20,204
21,204
22,205
23,205
24,206
27,206
30,209
31,209
32,210
34,210
35,211
41,211
43,213
55,213
56,214
64,214
65,213
67,213
68,212
70,212
71,211
72,211
75,208
75,207
76,206
76,205
77,204
77,203
78,202
78,201
79,200
79,199
80,198
80,197
81,196
81,194
82,193
82,192
83,191
83,190
84,189
84,188
85,187
85,186
88,183
91,183
93,185
92,186
92,189
91,190
91,193
93,195
93,200
92,201
92,202
93,203
93,204
94,204
95,205
95,210
96,211
98,211
99,210
101,210
102,209
104,209
105,210
105,211
106,212
106,213
108,213
109,212
111,212
112,211
115,211
116,212
116,213
117,214
117,216
115,218
110,218
109,219
107,219
106,220
105,220
103,222
102,222
102,223
101,224
102,224
103,223
104,223
105,222
106,223
107,223
108,224
137,224
138,223
139,223
140,222
141,222
143,224
144,224
144,222
145,221
146,221
146,220
145,219
143,219
142,218
139,218
138,217
134,217
132,215
132,214
131,213
131,212
130,211
130,209
129,208
129,207
128,206
128,204
127,203
127,202
126,201
126,199
125,198
125,194
126,193
126,192
127,191
127,190
128,189
128,187
129,186
129,184
130,183
130,181
131,180
131,177
132,176
132,173
133,172
133,169
136,166
137,166
141,162
142,162
148,156
148,155
149,154
150,154
151,153
167,153
169,155
170,155
171,156
172,156
173,157
176,157
176,155
175,154
175,153
177,151
178,152
179,152
180,153
180,154
182,156
183,155
184,155
184,154
185,153
185,149
184,148
184,147
182,145
182,144
181,143
181,138
180,137
180,136
179,135
179,134
177,132
176,132
173,129
172,129
170,127
169,127
168,126
167,126
166,125
165,125
164,124
163,124
162,123
161,123
160,122
159,122
158,121
156,121
154,123
153,122
148,122
147,121
147,119
148,118
148,117
150,115
150,114
153,111
153,110
164,99
165,99
168,96
169,96
172,93
173,93
174,92
175,92
177,90
178,90
179,89
179,88
180,87
180,86
181,85
181,84
182,83
182,81
183,80
183,79
184,78
184,77
185,76
185,75
186,74
186,73
187,72
187,71
188,70
188,69
189,68
189,67
190,66
190,65
191,64
191,63
192,62
192,61
193,60
193,59
194,58
194,57
196,55
196,54
197,53
197,52
198,51
198,50
200,48
200,47
201,46
201,45
203,43
203,42
205,40
205,39
207,37
207,36
209,34
209,33
211,31
211,30
213,28
213,27
215,25
215,24
217,22
217,21
219,19
219,18
222,15
222,14
223,13
224,13
224,12
223,12
222,11
217,11
216,12
213,12
212,13
211,13
210,14
209,14
207,16
206,16
204,18
203,18
202,17
203,16
203,14
205,12
205,11
206,10
206,9
207,8
207,7
209,5
209,4
210,3
210,2
211,1
211,0
