x,y
204,31
199,36
198,36
195,33
195,35
194,36
194,37
192,39
192,40
191,41
190,40
189,40
188,39
187,39
186,38
186,43
185,44
183,44
183,45
184,46
184,48
183,49
183,51
184,52
184,56
183,57
184,58
185,58
186,59
185,60
186,61
187,61
189,63
189,71
194,76
192,78
191,78
190,79
189,79
187,81
187,82
188,83
188,84
189,85
189,89
188,90
188,93
186,95
185,95
184,96
183,96
182,97
181,97
180,98
178,98
177,99
174,99
173,100
171,98
171,87
172,86
172,85
173,84
173,83
174,82
174,79
172,79
172,80
171,81
167,81
166,82
165,82
163,80
163,66
161,64
160,65
160,67
161,68
160,69
160,71
159,72
158,72
157,73
157,76
156,77
156,79
157,80
157,84
156,85
156,92
157,93
157,95
158,96
158,99
156,101
155,101
154,102
154,110
155,111
155,115
154,116
154,121
153,122
153,123
154,124
154,133
153,134
153,146
154,147
154,150
155,151
155,155
156,156
157,156
158,157
161,157
162,156
163,156
165,154
166,154
168,152
169,152
171,150
172,150
172,149
174,147
174,146
175,145
176,145
177,146
177,149
178,150
178,152
177,153
177,154
176,155
176,156
175,157
175,160
176,161
176,167
177,168
177,176
175,178
175,186
174,187
174,196
173,197
173,205
174,206
174,209
175,210
175,213
176,214
176,221
175,222
175,239
174,240
174,259
173,260
173,262
174,263
174,265
173,266
173,276
174,277
174,278
175,279
175,280
176,281
176,283
177,284
177,288
178,289
178,294
179,295
179,300
180,301
180,306
181,307
181,308
182,309
182,310
183,311
183,317
184,318
184,319
185,320
185,321
186,322
186,325
187,326
187,339
186,340
186,344
185,345
185,354
186,355
186,358
187,359
192,359
196,355
196,354
197,353
197,352
198,351
198,350
199,349
199,337
201,335
202,336
202,346
201,347
201,350
202,351
202,357
203,358
203,359
204,360
204,365
205,366
205,367
211,373
212,373
213,374
214,374
215,375
216,375
217,376
219,376
220,377
224,377
225,376
226,376
227,375
227,374
226,373
226,371
225,370
225,369
224,368
224,367
222,365
222,364
221,363
221,362
220,361
220,360
219,359
219,357
218,356
218,353
217,352
217,341
218,340
218,339
219,338
219,336
218,335
218,330
219,329
219,327
220,326
220,321
219,320
219,302
220,301
220,300
221,299
221,293
222,292
222,290
223,289
222,288
222,283
223,282
223,280
224,279
224,278
225,277
225,270
226,269
226,260
227,259
227,255
228,254
228,251
229,250
229,247
230,246
230,244
231,243
231,240
232,239
232,236
233,235
233,231
234,230
234,224
235,223
235,220
236,219
236,217
237,216
237,214
238,213
238,211
240,209
240,201
241,200
242,200
247,195
247,191
249,189
249,188
250,187
250,183
252,181
252,180
254,178
254,177
255,176
255,172
256,171
256,168
257,167
257,163
258,162
258,160
259,159
259,154
258,153
258,152
257,151
257,150
256,149
256,147
255,146
255,140
254,139
254,135
253,134
253,132
252,131
252,128
251,127
251,124
250,123
250,119
249,118
249,111
248,110
248,105
247,104
247,103
245,101
244,101
243,100
241,100
240,99
239,99
238,98
236,98
235,97
234,97
233,96
232,96
231,95
230,95
228,93
226,93
225,92
224,92
223,91
223,90
222,89
222,88
221,87
221,86
216,81
215,81
213,79
213,77
214,76
214,74
215,73
215,72
216,71
216,70
218,68
218,67
219,66
219,64
216,61
216,58
218,56
218,54
219,53
219,52
220,51
219,50
219,46
218,45
218,44
216,42
217,41
217,39
216,38
215,38
214,39
213,39
212,38
212,37
211,36
211,33
210,34
209,34
207,36
206,36
205,35
205,31
