x,y
518,135
517,136
517,137
513,141
513,142
509,146
509,148
508,149
508,169
507,170
507,192
509,194
509,200
505,204
505,230
504,231
504,249
502,251
502,253
501,254
501,281
502,282
502,293
499,296
499,299
497,301
497,318
495,320
495,351
497,353
501,353
502,354
502,355
492,365
491,365
490,366
490,372
486,376
474,376
472,374
472,369
471,368
462,368
460,366
460,364
462,362
466,362
469,359
469,339
467,337
467,325
466,324
466,317
464,315
464,304
463,303
462,303
460,301
460,296
458,294
458,282
457,281
454,281
452,279
452,274
454,272
454,271
456,269
456,246
451,241
451,214
450,213
450,206
449,205
444,205
443,204
443,203
450,196
450,175
449,174
447,174
445,172
444,172
443,171
442,171
440,169
407,169
404,172
404,176
398,182
398,192
397,193
397,195
396,196
396,217
397,218
397,221
398,222
398,248
403,253
403,276
405,278
405,280
402,283
402,317
403,318
404,318
405,319
406,319
408,321
408,340
409,341
409,347
410,348
410,349
412,351
412,352
413,353
413,369
415,371
415,373
418,376
423,376
425,378
425,380
426,381
426,394
425,395
425,400
422,403
419,403
418,404
417,404
415,406
407,406
405,404
405,401
401,397
400,397
396,393
377,393
375,391
375,369
379,365
379,364
383,360
384,360
385,359
385,340
378,333
378,332
375,329
375,318
374,317
373,317
369,313
369,312
366,309
358,309
356,307
356,293
352,289
352,281
351,280
339,280
338,279
315,279
314,280
311,280
310,281
310,300
311,301
314,301
315,302
315,303
314,304
314,326
317,329
317,332
318,333
318,334
321,337
326,337
328,339
328,366
329,367
332,367
334,369
334,382
335,383
340,383
344,387
344,388
343,389
341,389
340,390
340,410
342,412
344,412
346,414
346,415
347,416
347,423
352,428
352,435
356,439
356,440
358,442
358,446
359,447
359,459
361,461
361,474
362,475
362,486
363,487
364,487
366,489
366,498
367,499
367,506
372,511
372,518
370,520
370,532
369,533
369,557
370,558
370,569
372,571
372,572
370,574
370,588
369,589
369,618
370,619
370,640
371,641
371,647
372,648
373,648
374,649
374,650
376,652
376,653
377,654
377,667
379,669
379,679
380,680
382,680
383,681
385,681
387,683
387,690
388,691
388,692
390,694
390,707
384,713
384,721
380,725
380,739
378,741
378,767
555,767
555,746
554,745
554,743
556,741
559,741
560,740
560,720
557,717
557,712
560,709
560,702
562,700
579,700
581,698
584,698
586,696
586,689
588,687
588,681
590,679
596,679
597,678
597,672
599,670
610,670
611,669
612,669
621,660
621,659
622,658
622,657
624,655
624,654
626,652
629,652
633,648
633,647
641,639
642,639
646,635
648,635
656,627
656,626
657,625
657,624
659,622
662,622
665,619
665,614
667,612
668,612
669,611
669,589
671,587
672,588
692,588
693,587
693,582
694,581
694,568
697,565
705,565
706,564
711,564
715,560
716,560
717,559
723,559
724,558
724,537
728,533
747,533
750,530
750,527
752,525
755,525
760,520
762,520
763,519
764,519
769,514
769,513
772,510
772,505
774,503
787,503
788,502
788,500
791,497
804,497
805,496
805,477
804,476
804,472
802,470
802,469
792,459
790,459
786,455
784,455
783,454
745,454
744,455
733,455
730,458
723,458
718,463
717,463
716,464
715,464
714,465
713,465
712,466
711,466
710,467
709,467
707,469
706,469
705,470
704,470
703,471
702,471
701,472
698,472
695,475
695,476
694,477
693,477
692,478
691,478
686,483
686,484
685,485
685,486
683,488
681,488
678,491
678,493
673,498
672,498
671,499
670,499
666,503
665,503
656,512
654,512
647,519
638,519
637,520
637,537
635,539
628,539
625,542
622,542
616,548
616,551
614,553
612,553
611,552
611,548
612,547
612,544
614,542
614,529
616,527
616,509
619,506
619,484
621,482
621,458
618,455
616,455
614,453
614,450
615,449
615,444
617,442
619,442
622,439
622,438
623,437
623,428
624,427
624,426
625,425
625,403
623,401
623,384
619,380
623,376
625,376
626,375
626,365
631,360
631,359
635,355
635,347
636,346
636,323
637,322
638,322
639,321
639,302
634,297
634,289
633,288
618,288
616,286
617,285
631,285
634,282
638,282
640,280
642,280
643,279
643,251
641,249
641,221
640,220
633,220
631,218
631,188
630,187
625,187
624,186
603,186
599,190
597,190
596,191
594,191
591,194
591,204
590,205
590,223
586,227
586,253
583,256
583,287
584,288
592,288
593,289
593,290
592,291
584,291
583,292
583,312
586,315
586,316
584,318
580,318
579,319
578,319
574,323
574,333
572,335
572,343
571,344
571,353
569,355
569,378
568,379
568,384
561,391
561,392
560,393
559,393
558,394
557,394
556,395
554,395
552,393
552,371
551,370
551,369
549,367
549,358
553,354
553,334
555,332
560,332
561,331
561,329
562,328
562,314
564,312
565,312
566,311
566,288
565,287
565,284
563,282
563,247
562,246
562,231
563,230
563,229
564,228
564,215
565,214
565,182
563,180
559,180
557,178
557,174
556,173
556,172
555,171
541,171
540,170
540,169
543,166
557,166
559,164
559,143
556,140
555,140
550,135
