x,y
198,59
197,60
197,61
196,62
196,63
195,64
195,69
194,70
194,75
193,76
193,82
192,83
192,90
191,91
191,100
190,101
190,110
189,111
189,114
188,115
188,116
187,117
186,117
185,118
173,118
172,119
168,119
167,120
167,121
166,122
167,123
167,125
168,126
168,127
170,129
170,130
171,131
171,132
173,134
173,135
176,138
176,139
178,141
178,142
181,145
181,146
183,148
183,149
185,151
185,152
186,153
186,155
185,156
184,156
183,157
181,157
180,158
179,158
178,159
178,162
180,164
180,165
181,165
191,175
191,176
194,179
194,180
195,181
195,182
196,183
196,184
197,185
197,187
198,188
198,190
199,191
199,193
200,194
200,199
197,202
190,202
189,201
187,201
186,200
185,200
183,198
182,198
181,197
180,197
179,196
178,196
176,194
175,194
174,193
173,193
172,192
171,192
170,191
168,191
165,194
165,196
163,198
159,198
158,197
157,197
156,196
154,196
153,195
152,195
151,194
150,194
149,193
147,193
146,192
142,192
141,191
138,191
137,192
136,192
136,193
135,194
135,198
134,199
134,200
133,201
92,201
91,202
77,202
75,204
75,208
76,209
76,210
77,211
77,213
78,214
78,215
79,216
79,217
80,218
80,220
81,221
81,222
82,223
82,224
83,225
83,226
84,227
84,228
85,229
85,231
87,233
87,234
88,235
88,236
89,237
89,238
90,239
90,240
92,242
92,243
93,244
93,245
95,247
95,248
97,250
97,251
98,252
98,253
99,254
99,256
98,257
98,259
96,261
96,262
93,265
93,266
91,268
91,269
89,271
89,272
88,273
88,275
90,277
93,277
94,278
98,278
99,279
104,279
105,280
109,280
110,281
112,281
113,282
115,282
116,283
118,283
119,284
120,284
121,285
122,285
123,286
125,286
127,288
128,288
133,293
133,296
134,297
134,300
133,301
133,305
132,306
132,309
131,310
131,312
130,313
130,316
129,317
129,319
131,321
134,321
135,320
140,320
141,319
145,319
146,318
150,318
151,317
159,317
160,316
166,316
167,317
175,317
176,318
179,318
180,319
183,319
184,320
186,320
187,321
188,321
190,323
191,323
192,324
192,325
194,327
194,328
195,329
195,331
196,332
196,334
195,335
195,337
194,338
194,339
193,340
193,341
188,346
187,346
185,348
184,348
183,349
182,349
181,350
180,350
179,351
178,351
177,352
176,352
175,353
174,353
173,354
172,354
171,355
170,355
169,356
168,356
165,359
165,362
167,364
168,364
169,365
170,365
171,366
172,366
173,367
174,367
177,370
177,376
176,377
176,379
175,380
175,382
174,383
174,385
173,386
173,387
172,388
172,390
171,391
171,393
170,394
170,395
169,396
169,397
168,398
168,400
167,401
167,405
168,406
174,406
175,405
178,405
179,404
182,404
183,403
185,403
186,402
189,402
190,401
192,401
193,400
195,400
196,399
207,399
208,400
209,400
210,401
211,401
213,403
215,403
216,402
216,401
217,400
217,399
218,398
218,397
219,396
219,395
220,394
220,392
221,391
221,390
222,389
222,388
223,387
223,386
224,385
224,384
226,382
226,381
227,380
227,379
228,378
228,377
230,375
230,374
233,371
233,370
238,365
239,365
242,368
242,369
243,370
245,370
246,369
251,369
253,371
253,372
254,373
254,375
255,376
255,378
256,379
256,381
257,382
257,384
258,385
258,386
259,387
259,388
260,389
260,390
261,391
261,392
262,392
263,393
264,392
265,392
265,391
267,389
267,388
268,387
268,386
269,385
269,384
270,383
270,382
271,381
271,380
272,379
272,377
273,376
273,374
274,373
274,371
275,370
275,369
276,368
276,367
278,365
279,365
280,364
289,364
290,363
290,360
289,359
289,357
288,356
288,354
287,353
287,339
288,338
288,332
289,331
289,327
290,326
290,321
292,319
294,321
294,322
295,323
295,325
296,326
296,330
297,331
297,335
298,336
298,339
299,340
299,344
300,345
300,350
301,351
301,355
302,356
302,362
303,363
303,370
304,371
304,380
305,381
305,416
306,417
306,420
307,420
308,421
311,421
312,420
313,420
316,417
316,413
317,412
317,406
316,405
316,397
315,396
315,390
314,389
314,384
313,383
313,378
312,377
312,372
311,371
311,366
310,365
310,361
309,360
309,356
308,355
308,351
307,350
307,346
306,345
306,341
305,340
305,337
304,336
304,332
303,331
303,328
302,327
302,324
301,323
301,319
300,318
300,317
302,315
303,315
304,316
305,316
310,321
310,322
313,325
313,326
314,327
314,328
316,330
316,331
317,332
317,333
319,335
319,336
320,337
320,338
321,339
321,340
323,342
323,343
324,344
324,345
326,347
329,347
330,346
330,345
331,344
331,341
332,340
332,338
333,337
333,336
334,335
335,335
336,334
337,334
338,335
341,335
342,336
345,336
346,337
349,337
350,338
353,338
354,339
358,339
359,340
362,340
363,339
364,339
364,334
363,333
363,331
362,330
362,328
361,327
361,325
360,324
360,320
359,319
359,310
360,309
360,308
361,307
361,306
365,302
366,302
367,301
369,301
370,300
372,300
373,299
375,299
376,298
381,298
382,297
387,297
388,298
393,298
394,299
396,299
397,300
400,300
401,301
403,301
404,302
407,302
408,303
411,303
412,304
414,304
415,303
416,303
416,297
415,296
415,294
414,293
414,285
418,281
419,281
420,280
421,280
422,279
424,279
425,278
426,278
427,277
428,277
429,276
430,276
431,275
432,275
434,273
435,273
438,270
438,268
435,265
434,265
433,264
432,264
431,263
430,263
429,262
428,262
427,261
426,261
425,260
424,260
423,259
421,259
420,258
419,258
418,257
416,257
412,253
412,248
413,247
413,245
414,244
414,239
413,239
412,238
407,238
406,239
401,239
400,240
397,240
396,241
392,241
391,242
388,242
387,243
383,243
382,244
378,244
377,245
365,245
362,242
362,236
363,235
363,233
364,232
364,231
366,229
366,228
370,224
370,223
376,217
376,216
381,211
382,211
389,204
390,204
393,201
393,200
394,199
394,195
390,191
389,191
385,187
385,183
387,181
387,180
391,176
391,175
396,170
396,169
401,164
401,163
402,162
402,160
400,158
383,158
382,159
379,159
378,158
377,158
376,157
376,156
375,155
375,150
376,149
376,135
377,134
377,119
378,118
378,112
377,111
377,107
376,106
376,105
375,104
371,104
362,113
361,113
346,128
345,128
343,130
342,130
340,132
338,132
337,133
335,133
334,132
333,132
330,129
329,129
325,125
324,125
323,124
321,124
319,126
319,127
318,128
318,129
317,130
317,132
316,133
316,134
315,135
315,136
314,137
314,138
313,139
313,140
312,141
312,142
310,144
310,145
307,148
307,149
303,153
303,154
300,157
299,157
298,158
294,158
289,153
289,152
287,150
287,149
286,148
286,146
285,145
285,141
284,140
284,131
283,130
283,126
284,125
284,115
283,114
282,114
281,113
279,113
278,114
276,114
275,115
273,115
272,116
271,116
270,115
269,115
268,114
268,113
267,112
267,111
266,110
266,107
265,106
265,104
264,103
264,100
263,99
263,97
262,96
262,95
261,94
261,92
259,90
258,90
257,89
256,90
255,90
248,97
247,97
246,98
245,98
244,97
243,97
238,92
237,92
217,72
216,72
207,63
206,63
204,61
203,61
202,60
201,60
200,59
