x,y
155,38
154,39
148,39
147,40
144,40
143,41
141,41
140,42
139,42
138,43
137,43
136,44
135,44
134,45
133,45
132,46
131,46
128,49
127,49
119,57
119,58
116,61
116,62
115,63
115,64
114,65
114,66
113,67
113,68
112,69
112,71
111,72
111,74
110,75
110,78
109,79
109,86
108,87
108,88
109,89
109,97
110,98
110,102
111,103
111,105
112,106
112,108
113,109
113,111
115,113
115,114
116,115
116,116
118,118
118,119
120,121
120,122
122,124
123,124
125,126
131,120
132,120
136,116
136,115
137,114
137,112
138,111
138,108
139,107
139,101
138,100
138,98
137,97
137,96
135,94
135,93
133,91
133,90
132,89
132,88
131,87
131,86
130,85
130,80
129,79
129,71
130,70
130,68
131,67
131,66
142,55
143,55
144,54
145,54
146,53
149,53
150,52
158,52
159,51
165,51
166,52
168,52
169,53
171,53
172,54
173,54
174,55
175,55
176,56
177,56
180,59
180,60
181,61
181,69
180,70
180,71
181,72
181,75
182,76
182,84
183,85
183,86
184,87
184,88
186,90
186,91
187,92
187,93
186,94
186,95
185,96
184,96
184,99
183,100
183,103
182,104
182,109
179,112
178,112
177,113
174,113
173,114
169,114
168,115
168,118
173,123
173,124
176,127
176,128
175,129
175,130
173,132
173,133
175,135
175,136
177,136
178,135
179,135
180,134
181,134
182,133
183,133
184,132
185,132
188,129
189,129
192,126
193,126
195,124
195,123
199,119
199,118
201,116
201,115
202,114
202,113
203,112
203,111
204,110
204,109
205,108
205,106
206,105
206,103
207,102
207,99
208,98
208,80
207,79
207,76
206,75
206,72
205,71
205,70
204,69
204,68
203,67
203,65
201,63
201,62
200,61
200,60
197,57
197,56
190,49
189,49
187,47
186,47
184,45
183,45
182,44
181,44
180,43
179,43
178,42
177,42
176,41
173,41
172,40
170,40
169,39
163,39
162,38
