x,y
488,41
487,42
471,42
470,43
465,43
464,44
459,44
458,45
454,45
453,46
449,46
448,47
444,47
443,48
440,48
439,49
436,49
435,50
432,50
431,51
429,51
428,52
425,52
424,53
422,53
421,54
418,54
417,55
415,55
414,56
411,56
410,57
408,57
407,58
404,58
403,59
400,59
399,60
396,60
395,61
393,61
392,62
388,62
387,63
383,63
382,64
378,64
377,65
371,65
370,66
366,66
365,65
356,65
355,64
347,64
346,63
340,63
339,62
335,62
334,61
330,61
329,60
325,60
324,59
320,59
319,58
316,58
315,57
312,57
311,56
308,56
307,55
303,55
302,54
299,54
298,53
295,53
294,52
290,52
289,51
285,51
284,50
280,50
279,49
274,49
273,48
269,48
268,47
245,47
244,48
238,48
237,49
233,49
232,50
229,50
228,51
226,51
225,52
224,52
223,53
221,53
220,54
219,54
218,55
217,55
215,57
214,57
212,59
211,59
200,70
200,71
198,73
198,74
196,76
196,77
195,78
195,79
194,80
194,81
193,82
193,83
191,85
191,86
190,87
190,88
188,90
188,91
185,94
185,95
183,97
183,98
180,101
180,102
178,104
178,105
175,108
175,109
174,110
174,111
172,113
172,114
171,115
171,116
170,117
170,119
169,120
169,121
168,122
168,124
167,125
167,127
166,128
166,130
165,131
165,134
164,135
164,137
163,138
163,141
162,142
162,145
161,146
161,148
160,149
160,152
159,153
159,155
158,156
158,159
157,160
157,163
156,164
156,168
155,169
155,172
154,173
154,176
153,177
153,180
152,181
152,184
151,185
151,189
150,190
150,192
149,193
149,196
148,197
148,200
147,201
147,203
146,204
146,207
145,208
145,210
144,211
144,213
143,214
143,216
142,217
142,219
141,220
141,221
140,222
140,223
139,224
139,225
138,226
138,227
137,228
137,229
136,230
136,231
135,232
135,233
134,234
134,235
133,236
133,237
131,239
131,240
129,242
129,243
124,248
124,249
120,253
119,253
116,256
115,256
113,258
112,258
111,259
110,259
109,260
108,260
107,261
104,261
103,262
83,262
82,261
79,261
78,260
76,260
75,259
73,259
72,258
71,258
70,257
69,257
68,256
67,256
66,255
65,255
63,253
62,253
51,242
51,241
49,239
49,238
48,237
48,236
47,235
47,234
46,233
46,231
45,230
45,228
44,227
44,224
43,223
43,202
44,201
44,197
45,196
45,193
46,192
46,190
47,189
47,187
48,186
48,185
49,184
49,182
51,180
51,179
52,178
52,177
54,175
54,174
56,172
56,171
60,167
60,166
67,159
68,159
71,156
72,156
73,155
74,155
75,154
76,154
77,153
78,153
79,152
81,152
82,151
86,151
87,150
91,150
92,151
96,151
97,152
100,152
101,151
101,150
102,149
102,143
101,142
101,141
95,135
94,135
92,133
91,133
90,132
89,132
88,131
87,131
86,130
84,130
83,129
74,129
73,130
70,130
69,131
68,131
67,132
65,132
64,133
63,133
62,134
61,134
59,136
58,136
56,138
55,138
50,143
49,143
43,149
43,150
37,156
37,157
34,160
34,161
32,163
32,164
30,166
30,167
28,169
28,170
26,172
26,173
25,174
25,175
24,176
24,177
23,178
23,179
22,180
22,181
21,182
21,183
20,184
20,185
19,186
19,187
18,188
18,190
17,191
17,193
16,194
16,196
15,197
15,199
14,200
14,203
13,204
13,209
12,210
12,220
11,221
11,233
12,234
12,243
13,244
13,248
14,249
14,251
15,252
15,255
16,256
16,257
17,258
17,260
18,261
18,262
19,263
19,264
20,265
20,266
21,267
21,268
22,269
22,270
23,271
23,272
26,275
26,276
29,279
29,280
37,288
38,288
42,292
43,292
45,294
46,294
48,296
49,296
51,298
52,298
53,299
54,299
55,300
56,300
57,301
59,301
60,302
61,302
62,303
63,303
64,304
66,304
67,305
68,305
69,306
72,306
73,307
75,307
76,308
80,308
81,309
84,309
85,310
91,310
92,311
99,311
100,312
133,312
134,311
141,311
142,310
150,310
151,311
151,312
148,315
147,315
142,320
142,321
143,322
145,322
146,323
150,323
151,324
162,324
163,323
167,323
168,322
169,322
170,321
171,321
172,320
173,320
174,319
175,319
176,318
177,318
179,316
180,316
182,314
183,314
201,296
201,295
205,291
205,290
208,287
208,286
209,285
209,284
211,282
211,281
213,279
213,278
215,276
215,275
216,274
216,273
218,271
218,270
219,269
219,268
220,267
220,266
221,265
221,264
223,262
223,261
226,258
227,258
229,256
231,256
232,255
233,255
234,254
236,254
237,253
239,253
240,252
242,252
243,251
246,251
247,250
250,250
251,249
254,249
255,248
259,248
260,247
264,247
265,246
268,246
269,245
272,245
273,244
275,244
276,243
278,243
279,244
280,244
283,247
284,247
286,249
287,249
290,252
291,252
294,255
295,255
298,258
299,258
300,259
300,271
299,272
299,279
298,280
298,287
297,288
297,293
296,294
296,300
295,301
295,306
294,307
294,312
293,313
293,318
292,319
292,323
291,324
291,329
290,330
290,334
289,335
289,339
288,340
288,344
287,345
287,349
286,350
286,354
285,355
285,359
284,360
284,364
283,365
283,369
282,370
282,374
281,375
281,380
280,381
280,385
279,386
279,390
278,391
278,396
277,397
277,401
276,402
276,407
275,408
275,413
274,414
274,419
273,420
273,425
272,426
272,432
271,433
271,438
270,439
270,445
269,446
269,453
268,454
268,461
267,462
267,470
266,471
266,480
265,481
265,488
264,489
264,493
263,494
263,495
262,496
262,497
261,498
261,499
258,502
258,503
252,509
251,509
241,519
241,520
239,522
239,523
238,524
238,529
239,530
239,531
240,532
241,532
243,534
244,534
245,535
247,535
