x,y
555,237
554,238
554,239
553,240
553,243
552,244
552,247
551,248
551,250
550,251
550,254
549,255
549,258
548,259
548,261
547,262
547,265
546,266
546,268
545,269
545,272
544,273
544,276
543,277
543,279
542,280
542,283
541,284
541,286
540,287
540,290
539,291
539,294
538,295
538,297
537,298
537,301
536,302
536,305
535,306
535,308
534,309
534,312
533,313
533,315
532,316
532,319
531,320
531,323
530,324
530,326
529,327
529,330
528,331
528,333
527,334
527,337
526,338
526,341
525,342
525,344
524,345
524,348
523,349
523,352
522,353
522,355
521,356
521,359
520,360
520,362
519,363
519,366
518,367
518,370
517,371
517,373
516,374
516,377
515,378
515,380
514,381
514,384
513,385
513,388
512,389
512,391
511,392
511,395
510,396
510,398
509,399
509,402
508,403
508,406
507,407
507,409
506,410
506,413
505,414
505,416
504,417
504,418
503,419
502,419
501,418
500,418
498,416
497,416
496,415
494,415
493,414
491,414
490,413
486,413
485,412
471,412
470,413
466,413
465,414
462,414
461,415
459,415
458,416
457,416
456,417
455,417
454,418
453,418
452,419
451,419
450,420
449,420
446,423
445,423
441,427
441,428
438,431
438,432
437,433
437,434
436,435
436,437
435,438
435,447
436,448
436,449
437,450
437,451
438,452
438,453
443,458
444,458
445,459
446,459
447,460
448,460
449,461
450,461
451,462
453,462
454,463
458,463
459,464
472,464
473,463
478,463
479,462
481,462
482,461
484,461
485,460
487,460
488,459
489,459
490,458
491,458
492,457
493,457
495,455
496,455
499,452
500,452
503,449
503,448
506,445
506,444
507,443
507,442
508,441
508,439
509,438
509,435
510,434
510,432
511,431
511,428
512,427
512,425
513,424
513,421
514,420
514,417
515,416
515,414
516,413
516,410
517,409
517,406
518,405
518,403
519,402
519,399
520,398
520,396
521,395
521,392
522,391
522,388
523,387
523,385
524,384
524,381
525,380
525,378
526,377
526,374
527,373
527,370
528,369
528,367
529,366
529,363
530,362
530,360
531,359
531,356
532,355
532,352
533,351
533,349
534,348
534,345
535,344
535,342
536,341
536,338
537,337
537,334
538,333
538,331
539,330
539,327
540,326
540,324
541,323
541,320
542,319
542,316
543,315
543,313
544,312
544,309
545,308
545,305
546,304
546,302
547,301
547,298
549,296
550,296
557,303
557,304
559,306
560,306
564,310
564,311
573,320
573,321
576,324
576,325
578,327
578,328
579,329
579,330
581,332
581,333
582,334
582,336
583,337
583,339
584,340
584,342
585,343
585,349
586,350
586,354
585,355
585,362
584,363
584,366
583,367
583,369
582,370
582,371
581,372
581,374
580,375
580,376
579,377
579,378
578,379
578,380
577,381
577,382
576,383
576,384
575,385
575,386
573,388
573,389
572,390
572,392
573,393
579,387
579,386
581,384
581,383
583,381
583,380
585,378
585,377
586,376
586,374
587,373
587,372
588,371
588,370
589,369
589,366
590,365
590,363
591,362
591,358
592,357
592,340
591,339
591,335
590,334
590,331
589,330
589,328
588,327
588,325
587,324
587,323
586,322
586,320
585,319
585,318
584,317
584,316
583,315
583,314
582,313
582,312
581,311
581,310
580,309
580,308
579,307
579,306
577,304
577,303
576,302
576,301
575,300
575,299
573,297
573,296
572,295
572,294
571,293
571,292
569,290
569,289
568,288
568,287
567,286
567,285
566,284
566,283
565,282
565,281
564,280
564,279
563,278
563,276
562,275
562,273
561,272
561,268
560,267
560,257
561,256
561,250
562,249
562,245
563,244
563,239
562,238
560,238
559,237
