x,y
316,77
315,78
314,78
313,79
312,79
309,82
307,82
303,86
303,89
304,90
307,90
308,89
309,89
314,84
318,84
319,83
321,83
324,86
324,87
325,88
325,93
326,94
326,95
327,96
327,97
331,101
331,109
332,109
333,110
335,110
337,112
339,112
340,113
344,113
348,117
348,119
349,120
351,120
353,122
353,125
359,131
359,135
360,136
360,137
363,140
364,140
370,146
370,147
372,149
372,150
374,152
374,153
375,154
375,155
376,156
376,158
377,159
377,164
369,172
368,172
365,175
364,175
360,179
359,179
351,187
351,188
350,189
350,190
349,191
349,192
348,193
348,195
347,196
347,198
345,200
343,200
342,201
341,201
332,210
330,210
329,211
324,211
323,210
316,210
315,211
311,211
310,212
309,212
305,216
305,217
304,218
304,220
303,221
303,225
302,226
302,229
301,230
301,231
300,232
300,233
299,234
299,235
293,241
292,241
291,242
290,242
289,243
288,243
287,244
283,244
282,245
276,245
275,246
273,246
272,247
271,247
268,250
268,251
267,252
267,253
266,254
266,255
261,260
260,260
258,262
258,263
257,264
257,271
258,272
258,275
259,276
259,279
260,280
260,282
261,283
261,285
262,286
262,287
263,288
263,290
264,291
264,292
265,293
265,294
266,295
266,301
260,307
259,307
258,308
257,308
253,312
253,314
252,315
252,318
251,319
251,320
249,322
249,323
242,330
241,330
233,338
233,339
232,340
232,341
231,342
231,343
230,344
230,353
232,355
232,356
234,358
234,359
235,360
235,361
236,362
236,363
237,364
237,366
238,367
238,368
239,369
239,371
240,372
240,373
241,374
241,375
243,377
243,378
244,379
244,385
243,386
243,387
242,388
242,389
240,391
239,391
238,392
237,392
236,393
235,393
231,397
231,399
230,400
230,403
231,404
231,407
232,408
232,409
233,410
233,414
232,415
231,415
230,414
228,414
227,413
222,413
221,414
220,414
218,416
217,416
214,419
214,420
210,424
210,425
209,426
209,427
208,428
208,429
207,430
207,432
206,433
206,438
205,439
205,448
204,449
204,450
200,454
200,455
198,457
198,458
197,459
197,460
196,461
196,462
195,463
195,464
194,465
194,466
193,467
193,468
192,469
192,470
191,471
191,473
190,474
190,478
189,479
189,484
190,485
190,491
191,492
191,495
192,496
192,498
193,499
193,501
194,502
194,503
196,505
198,505
199,506
201,506
202,505
204,505
206,503
207,503
208,502
210,502
211,503
212,503
213,504
213,505
219,511
220,511
222,513
223,513
224,514
225,514
226,515
227,515
229,517
230,517
231,518
232,518
234,520
235,520
241,526
241,527
243,529
244,529
245,530
248,530
252,534
252,536
253,537
253,539
255,541
255,542
259,546
260,546
261,547
262,547
263,548
264,548
265,549
279,549
280,550
281,550
282,551
282,552
283,553
283,555
285,557
285,558
296,569
297,569
298,570
299,570
303,566
303,559
302,558
302,555
301,554
301,551
300,550
300,547
299,546
299,539
302,536
305,536
306,535
307,536
308,536
309,537
309,539
310,540
310,542
311,543
311,544
312,545
313,545
314,546
315,546
316,547
318,547
319,548
325,548
326,549
327,549
331,553
331,554
332,555
332,556
333,557
333,558
334,559
334,560
337,563
338,563
340,565
342,565
343,566
348,566
349,567
350,567
351,568
351,569
352,570
352,571
356,575
357,575
359,577
360,577
362,579
363,579
364,580
365,580
367,582
368,582
369,583
370,583
371,584
373,584
374,585
379,585
380,586
380,587
381,588
381,589
382,590
382,591
384,593
387,593
388,594
390,594
391,595
392,595
395,598
396,598
397,599
401,599
402,598
404,598
406,600
406,601
411,606
412,606
413,607
414,607
415,608
419,608
420,609
420,610
421,611
421,612
423,612
424,613
427,613
428,614
431,614
432,615
437,615
438,616
444,616
445,617
446,617
447,618
448,618
452,622
452,624
453,625
453,633
454,634
454,635
455,636
455,637
456,638
456,639
459,642
459,643
462,646
462,647
471,656
471,660
470,661
470,662
469,663
469,667
470,668
470,669
471,670
471,671
472,672
472,673
473,674
474,674
475,675
479,675
480,674
482,674
483,673
485,673
487,671
488,671
493,666
494,666
495,665
496,665
497,666
498,666
500,668
500,669
501,670
501,671
503,673
503,674
505,676
505,677
507,679
507,686
510,689
511,689
512,690
513,690
514,691
515,691
516,692
517,692
518,693
519,693
521,695
522,695
524,697
525,697
528,700
529,700
531,702
532,702
534,704
535,704
537,706
538,706
539,707
540,707
541,708
542,708
543,709
545,709
546,710
548,710
549,711
555,711
556,712
557,712
563,718
564,718
569,723
570,723
573,726
574,726
577,729
578,729
581,732
582,732
584,734
585,734
588,737
589,737
592,740
593,740
595,742
596,742
597,743
598,743
599,744
600,744
601,745
606,745
607,744
608,744
610,742
610,741
611,740
611,739
612,738
612,737
614,735
614,734
619,729
620,729
621,728
622,728
623,727
627,727
628,726
629,727
633,727
634,728
636,728
638,730
639,730
644,735
644,736
649,741
650,741
652,743
653,743
654,744
662,744
663,745
664,745
665,746
666,746
668,748
669,748
674,753
675,753
680,758
681,758
685,762
686,762
689,765
690,765
692,767
693,767
694,768
695,768
697,770
698,770
699,771
700,771
703,774
704,774
705,775
705,776
715,786
716,786
717,787
718,787
719,788
720,788
721,789
723,789
724,790
728,790
729,789
735,789
736,788
741,788
742,787
747,787
748,786
753,786
754,785
757,785
758,784
760,784
761,783
764,783
765,782
767,782
768,781
773,781
777,785
777,786
778,787
778,788
779,789
779,790
780,791
780,793
781,794
781,795
782,796
782,797
783,798
783,800
784,801
784,803
785,804
785,808
786,809
786,817
785,818
785,826
784,827
784,831
785,832
785,833
786,833
787,834
801,834
802,835
813,835
814,834
825,834
826,835
827,835
828,836
829,836
832,839
832,840
835,843
838,843
839,844
842,844
843,845
845,845
846,846
850,846
851,847
863,847
864,846
884,846
888,850
888,851
893,856
894,856
896,858
897,858
900,861
900,862
901,863
901,866
902,867
902,869
903,870
903,871
906,874
907,874
908,875
909,875
910,876
912,876
913,877
916,877
917,876
921,876
922,875
