x,y
78,20
77,21
78,21
79,20
82,23
82,24
83,25
83,26
85,28
86,28
89,31
89,32
90,33
90,34
94,38
94,41
90,45
89,45
89,46
87,48
87,49
85,51
84,51
82,53
77,53
77,54
76,55
76,56
75,57
75,58
72,61
70,61
69,62
68,62
65,65
65,66
64,67
65,68
65,71
66,72
66,76
65,77
64,77
64,78
63,79
63,80
58,85
58,89
59,90
59,91
60,92
60,93
61,94
61,96
58,99
58,102
56,104
55,104
52,107
52,109
51,110
51,113
49,115
49,116
48,117
48,119
47,120
47,121
48,122
48,125
49,126
53,126
55,128
56,128
57,129
58,129
64,135
64,136
65,136
66,137
69,137
74,142
75,141
75,138
74,137
74,136
76,134
78,136
79,136
80,137
81,137
85,141
86,141
88,143
89,143
91,145
92,145
93,146
94,146
96,148
97,148
98,149
100,149
102,151
103,151
104,152
105,152
106,153
108,153
109,154
111,154
113,156
113,157
114,158
114,160
118,164
118,168
121,168
122,167
125,167
126,168
126,169
127,170
127,171
129,173
130,173
132,175
133,175
135,177
137,177
138,178
139,178
141,180
142,180
145,183
146,183
148,185
149,185
150,186
151,186
155,182
159,182
162,185
163,185
164,186
166,186
168,188
169,188
173,192
174,192
178,196
179,196
180,197
186,197
187,196
191,196
192,195
193,195
195,197
195,198
196,199
196,201
197,202
197,208
199,208
200,209
203,209
204,208
205,208
206,209
207,209
208,210
209,210
210,211
212,211
213,212
216,212
217,211
220,211
223,214
224,214
225,215
225,216
226,217
226,218
227,219
230,219
231,218
232,218
232,217
234,215
234,211
235,210
244,210
245,211
246,211
247,212
248,212
249,213
250,213
251,214
252,214
253,215
254,215
255,216
256,216
257,217
259,217
259,214
261,212
269,212
272,209
275,209
278,212
280,212
281,213
281,214
283,216
287,216
288,217
293,217
294,218
298,218
299,219
300,219
302,221
302,222
303,223
303,224
304,225
304,231
303,232
303,233
302,234
302,237
303,238
304,238
305,239
307,239
308,240
313,240
315,242
318,242
320,244
320,245
323,248
323,249
328,249
329,248
330,248
332,250
331,251
331,252
332,253
332,254
333,255
336,255
337,256
341,256
342,255
343,255
344,254
346,254
347,253
349,253
351,251
352,251
353,250
354,250
355,249
357,249
358,250
359,250
362,253
362,256
361,257
361,259
362,260
362,261
363,262
363,263
364,263
365,264
366,264
369,267
370,267
372,265
373,265
376,262
381,262
383,264
384,264
385,265
387,265
388,266
389,266
390,265
391,265
392,264
394,264
395,265
397,265
398,266
399,266
400,267
401,267
402,268
404,268
405,269
406,269
410,273
411,273
412,274
413,274
414,275
415,275
416,276
419,276
420,275
424,275
428,271
429,271
430,270
432,270
433,269
435,269
436,270
436,272
437,273
437,275
438,276
439,276
440,277
444,277
445,278
446,278
448,280
449,280
450,281
451,281
452,280
452,279
454,277
455,277
456,276
461,276
464,279
467,279
469,277
474,277
476,275
482,275
487,280
489,280
490,279
490,278
493,275
493,269
494,268
494,266
496,264
496,262
497,261
497,258
498,257
498,252
497,251
497,248
496,247
496,245
495,244
495,241
488,234
488,229
489,228
489,223
490,222
490,221
491,220
491,217
490,216
490,215
491,214
491,213
492,212
491,211
491,206
492,205
492,204
493,203
493,202
494,201
494,200
495,199
495,198
496,197
496,195
497,194
497,193
498,192
498,186
497,185
496,185
495,184
493,184
492,183
486,183
485,182
482,182
481,181
480,181
479,180
478,180
475,183
475,184
471,188
470,188
469,187
466,187
464,185
462,185
461,186
459,186
458,187
457,186
456,186
455,185
454,186
452,186
451,187
449,187
448,186
446,186
445,187
440,187
439,186
439,185
437,183
437,182
434,179
430,179
428,177
427,177
425,175
421,175
419,173
419,171
418,170
414,170
413,171
411,171
410,170
408,170
408,171
407,172
407,173
406,174
406,175
405,176
405,177
401,181
399,181
398,180
397,180
396,179
395,179
394,178
392,178
389,175
389,168
388,167
388,166
387,166
383,170
382,170
382,171
381,172
381,176
382,177
382,181
381,182
378,182
377,181
376,181
375,180
375,179
376,178
376,177
372,173
372,171
371,170
371,169
370,168
370,167
369,166
369,165
368,165
367,164
366,164
363,161
363,157
362,156
362,153
361,152
360,152
359,153
359,154
358,155
358,156
356,158
355,158
354,157
353,157
352,156
350,156
349,155
346,155
343,158
341,158
340,157
339,158
337,158
335,156
334,156
333,155
330,155
329,154
329,151
328,150
328,148
331,145
331,144
332,143
332,139
333,138
333,137
331,135
330,135
329,134
328,134
327,133
326,133
325,134
324,134
319,139
315,139
314,140
313,139
311,139
310,138
309,138
308,137
307,137
306,136
306,135
301,130
299,130
298,129
293,129
291,127
291,125
288,122
286,122
285,121
283,121
282,120
281,120
279,118
279,117
280,116
280,111
278,109
278,106
276,104
276,102
278,100
278,99
277,98
275,98
272,95
270,95
269,94
267,94
266,93
260,93
259,94
257,94
253,98
250,98
246,102
245,102
244,101
243,101
240,98
240,97
239,96
238,96
237,95
237,94
236,93
236,92
235,91
235,88
231,84
231,83
230,82
229,82
227,80
227,78
226,77
225,77
223,75
222,75
221,74
215,74
212,71
210,71
208,69
205,69
204,70
203,69
202,69
197,64
197,62
196,61
196,60
194,60
193,59
192,59
188,55
188,54
186,52
185,52
184,53
183,52
182,52
179,49
178,49
177,48
175,48
174,47
172,47
171,46
169,46
167,44
167,39
166,38
165,38
164,37
164,36
163,35
163,29
162,28
159,28
158,29
155,29
154,28
151,28
150,27
149,27
148,26
143,26
141,24
139,24
138,23
137,23
136,22
135,23
133,23
130,26
128,26
126,24
123,24
123,34
122,35
122,37
119,40
116,40
115,41
115,42
116,43
116,47
115,48
114,48
113,49
109,49
107,47
107,44
106,43
106,41
104,39
104,38
103,37
103,36
102,35
102,33
100,33
99,32
97,32
95,30
94,30
93,29
92,29
91,28
90,28
89,27
89,26
86,23
85,23
83,21
82,21
81,20
